Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
Visa,Chase,4431465245886276,Frank Q Ortiz,362,09/2016,09/2034,7,1247,103700
Discover,Discover,6224764404044446,Tony E Martinez,035,06/2012,06/2030,23,6190,92900
Japan Credit Bureau,JCB,3541789329050940,Ana M Downs,945,03/2017,03/2021,10,8550,71500
American Express,American Express,371306399244328,Calvin T House,3868,09/2007,09/2018,26,1777,190500
Visa,Chase,4332985341176660,Gilda J Wade,237,12/2012,12/2023,26,5551,179700
Master Card,Chase,5405935391199277,Doris Giles,734,02/2010,02/2019,2,0744,112000
Master Card,USAA,5359097928073131,Alvin M Espinoza,907,02/2011,02/2029,2,5000,80600
Master Card,Bank of America,5230327834921460,Christopher X Holcomb,357,01/2014,01/2024,19,4598,11000
Discover,Discover,6469129126918968,Liliana Goodman,888,11/2007,11/2012,28,3078,81000
Discover,Discover,6011199663449639,Kim M Lynn,762,12/2014,12/2020,2,2695,85800
Visa,GE Capital,4158776635655001,Thomas Fischer,857,01/2014,01/2023,17,8045,33400
American Express,American Express,375390277153716,Melvin N Beasley,8488,09/2017,09/2023,24,1267,197600
Master Card,Chase,5130409236105925,Valentin G Doyle,823,01/2008,01/2015,16,8161,195000
Master Card,Capital One,5491623279876035,Thomas L Stanton,134,08/2014,08/2030,11,4675,51800
Visa,First National,4272673588894227,Aurelio P Hendricks,971,07/2015,07/2033,20,2919,19200
Master Card,Chase,5379481552433991,Robert B Mcintyre,201,02/2013,02/2033,10,6704,65900
Diners Club International,Diners Club,30965943930840,Monroe Petersen,763,11/2011,11/2027,26,4165,19800
Visa,Chase,4765457511678731,Louis Z Quinn,586,01/2008,01/2026,27,2213,54400
Visa,Chase,4821146928941954,Gail Olsen,412,03/2015,03/2032,12,6157,106900
American Express,American Express,378404881993115,Jeremy Z Gates,1841,06/2007,06/2008,9,1934,134200
Master Card,Citibank,5112785913047114,Margery W Austin,814,03/2014,03/2033,21,6144,198800
Visa,Capital One,4947220459670651,Roberto L Padilla,301,08/2014,08/2021,15,5771,124000
Discover,Discover,6011409386900432,Eddy Wong,045,02/2016,02/2027,23,9498,26900
Visa,Bank of America,4440780817204446,Steven B Palmer,225,01/2015,01/2030,1,2365,35100
Diners Club International,Diners Club,38057825805209,Sheri Hatfield,473,02/2007,02/2024,10,5997,40300
American Express,American Express,347649116993821,Louis W Silva,3798,01/2015,01/2016,1,5275,113800
Discover,Discover,6469050075162657,Cora D Mayer,581,02/2013,02/2018,23,6291,41500
Diners Club International,Diners Club,36967207535079,Nathan Stone,340,05/2017,05/2022,26,8570,86600
Diners Club International,Diners Club,38759269556848,Phillip U Norman,874,10/2016,10/2030,7,0128,27500
Visa,Bank of America,4021927175265827,Sara O Kim,363,06/2012,06/2026,17,7144,154200
Japan Credit Bureau,JCB,3543925449367131,Damion Rivera,216,06/2012,06/2028,12,0404,151700
Discover,Discover,6011484883784266,Jimmy B Rose,402,04/2011,04/2012,6,9572,59900
Diners Club International,Diners Club,38695340899288,Herman G Schroeder,032,01/2017,01/2024,2,9595,194000
Master Card,Chase,5398521955567866,Diana Downs,786,11/2016,11/2027,7,3821,14000
Japan Credit Bureau,JCB,3540434221037098,Clayton G Watts,166,10/2011,10/2014,10,7630,112300
Japan Credit Bureau,JCB,3539908815800642,Susan Q Travis,568,11/2013,11/2016,9,8620,84600
Master Card,Citibank,5227625844484527,Pansy D Pierce,972,09/2008,09/2016,17,2775,66900
Visa,Wells Fargo,4838277891275905,Mildred Bowers,496,04/2016,04/2029,14,5809,30400
Visa,Citibank,4599207779879675,Damien E Hensley,073,07/2015,07/2032,12,9589,64400
Japan Credit Bureau,JCB,3533301538789019,Tyler H Hughes,230,10/2010,10/2028,24,1475,82400
American Express,Bank of America,343043650965938,Beatrice J Mckay,1564,07/2009,07/2014,1,0511,179200
Master Card,Chase,5145083380214412,Tony T Cohen,072,01/2010,01/2012,14,6196,184900
Master Card,Capital One,5159828707678985,Juliette Z Ruiz,422,10/2017,10/2036,22,0140,74900
Master Card,USAA,5208031906162221,Christine Walter,429,03/2008,03/2010,20,7188,196700
Discover,Discover,6475117918757456,Jerry Shannon,217,02/2012,02/2025,18,3777,16900
Master Card,Capital One,5424154184842773,Michael L Wilkinson,393,09/2009,09/2023,8,7690,178100
American Express,American Express,341977801080604,Callie V Olsen,5942,08/2013,08/2027,1,4284,104100
Discover,Discover,6011496912698333,Kyle Gross,612,04/2014,04/2016,17,1381,130900
Japan Credit Bureau,JCB,3533140934927652,Randi Hull,829,05/2013,05/2017,15,3828,196300
Discover,Discover,6011451177557294,Clara England,275,03/2010,03/2025,5,2149,121000
Visa,Chase,4094953974119728,Aurora K Bradshaw,437,05/2007,05/2015,16,9569,20200
Master Card,Chase,5409476257530780,Michele Gaines,855,05/2009,05/2015,13,2031,54400
Japan Credit Bureau,JCB,3577255703503687,Michael N Bernard,792,12/2016,12/2023,25,4858,126500
Visa,Chase,4566485124933301,Chris N Gillespie,155,08/2017,08/2023,21,2615,134800
Visa,Capital One,4471175577245402,Lisa W Guerrero,498,07/2017,07/2025,12,0001,42400
American Express,American Express,375729276772556,Florence Walton,7560,10/2013,10/2014,14,7750,34900
Master Card,Chase,5455926509191768,Lee B Garrison,867,01/2016,01/2031,1,9159,91800
Visa,U.S. Bancorp,4088223180972635,Victoria O Silva,700,01/2015,01/2023,17,7840,186900
Master Card,U.S. Bancorp,5300720568988181,Frank I Dudley,511,04/2008,04/2014,5,2445,89900
Japan Credit Bureau,JCB,3582395896626441,Yolanda Wilkerson,378,09/2014,09/2020,11,8565,88800
American Express,U.S. Bancorp,377130155757339,Monique Merritt,2438,04/2011,04/2017,6,4773,149000
American Express,American Express,343839835027407,Phyllis J Hendrix,9979,03/2013,03/2028,25,9320,165700
Japan Credit Bureau,JCB,3564067763394039,Christy N Beard,375,02/2017,02/2032,4,5535,129500
Japan Credit Bureau,JCB,3556491753862211,Andrea J Mullins,139,07/2011,07/2015,13,9201,89800
Diners Club International,Diners Club,30956042633518,Jeffery P Hawkins,271,07/2014,07/2018,11,5651,24400
Japan Credit Bureau,JCB,3534352862437708,Rebecca Martinez,635,04/2013,04/2022,16,0830,192000
Japan Credit Bureau,JCB,3561972393618868,Amparo K Sheppard,447,12/2010,12/2028,23,1077,190700
Master Card,Citibank,5135451111673069,Jeremy Weaver,866,11/2014,11/2020,14,4861,103800
Master Card,Capital One,5391708514358914,Aaron A Mercer,924,12/2011,12/2022,6,4308,197000
Master Card,U.S. Bancorp,5302640311499898,Mike T Avila,659,08/2007,08/2014,10,0447,28100
Diners Club International,Diners Club,30338121072811,Jeremiah Ware,297,11/2013,11/2029,18,7960,47900
American Express,American Express,349052442370293,Maurice Guthrie,6978,11/2009,11/2018,17,9508,12100
Diners Club International,Diners Club,30982623652966,Peter Mccullough,270,10/2012,10/2029,15,6980,179500
Visa,First National,4476551821352563,Amber W Chambers,980,08/2013,08/2015,21,5090,55300
Discover,Discover,6224405733487696,Janie D Hickman,374,02/2014,02/2022,23,8557,90100
Master Card,Chase,5415247763363483,Stanley D Reid,024,11/2016,11/2031,9,6646,132100
Diners Club International,Diners Club,30079443897994,Toni Booth,274,10/2009,10/2010,22,1280,77200
Discover,Discover,6011717246219631,Joan S Foreman,436,10/2012,10/2014,3,7543,16900
Japan Credit Bureau,JCB,3533107360091824,Kristen B Mcclure,187,04/2016,04/2022,20,7633,148500
American Express,USAA,340316802691120,Kathy Mccarty,0030,03/2014,03/2030,28,2602,174700
Diners Club International,Diners Club,30586987167642,Winston Z Bird,422,04/2016,04/2027,26,6355,103900
Diners Club International,Diners Club,30532333195390,Clara V Bullock,536,10/2015,10/2016,10,5995,91000
Diners Club International,Diners Club,30063209204363,Garland R Murphy,012,06/2017,06/2025,4,3755,81000
American Express,USAA,377602664997010,Leon S Hess,5983,03/2017,03/2037,13,2305,150200
Japan Credit Bureau,JCB,3549349043103392,Stevie M Snyder,835,08/2011,08/2030,14,5538,145600
Japan Credit Bureau,JCB,3581011014991309,Lynn Y Lang,436,06/2016,06/2019,19,6063,109100
Discover,Discover,6547176256617999,Johnnie Horne,735,05/2016,05/2019,3,3192,25000
Discover,Discover,6223589022670244,Wendy W Stark,755,02/2007,02/2020,27,7570,181200
Discover,Discover,6011700780926555,Corinne English,290,03/2017,03/2022,28,1513,131400
Master Card,Chase,5370977176624880,Leon Crosby,491,06/2015,06/2029,14,5328,153000
Japan Credit Bureau,JCB,3580471581450611,Carlene Y Obrien,681,12/2013,12/2024,24,6326,126800
Diners Club International,Diners Club,36373994879004,Tyler H Stark,345,10/2011,10/2022,5,7878,172900
Visa,USAA,4871328044155912,Jorge J Rios,857,05/2014,05/2021,10,3962,72400
Discover,Discover,6226383520007902,Patrick O Lynn,147,11/2017,11/2023,25,0367,59000
Visa,Wells Fargo,4749891003603321,Emanuel Z Howell,937,06/2014,06/2033,26,6556,129200
Japan Credit Bureau,JCB,3573738536467950,Nicholas F William,013,04/2007,04/2018,20,3656,101400
Japan Credit Bureau,JCB,3550832080616174,Trevor H Garza,170,08/2017,08/2029,21,9727,147400
Visa,USAA,4551947816539826,Bradley B Webster,059,06/2012,06/2013,23,6278,109900
Discover,Discover,6221616596960982,Marcus Crosby,687,04/2017,04/2033,20,1705,146300
Visa,Chase,4049740730209000,Gary Mathews,694,10/2011,10/2025,20,2060,158800
Diners Club International,Diners Club,30936598242542,Sharon X Martin,218,07/2015,07/2029,26,5463,76900
Diners Club International,Diners Club,38778627235267,Tammy Whitehead,541,06/2009,06/2017,6,8721,63600
Discover,Discover,6011059073739245,Nelson Mack,133,04/2012,04/2024,4,7925,155700
Visa,Bank of America,4466654813005199,Alfred G Joseph,095,10/2008,10/2016,20,5258,186400
Japan Credit Bureau,JCB,3530535153257439,Earnest A Cochran,438,01/2007,01/2009,5,2797,64000
Japan Credit Bureau,JCB,3577866480229567,Gilbert Rich,296,06/2011,06/2027,23,8439,130400
Master Card,USAA,5222784998416606,Corine L Mendez,247,09/2007,09/2011,17,6106,108700
Diners Club International,Diners Club,36732529018612,Calvin Z Huffman,011,10/2008,10/2009,25,1205,105000
Japan Credit Bureau,JCB,3584071186478003,Austin A Ayers,479,12/2015,12/2018,5,5983,72900
Master Card,Bank of America,5388815462728397,Marie H Gentry,447,12/2013,12/2014,12,8298,96800
Diners Club International,Diners Club,30906897118255,Johnnie L Kline,413,08/2010,08/2021,5,0780,87200
Visa,PNC,4636044232586513,Edwin V Pace,098,05/2008,05/2015,9,6932,13000
Master Card,Capital One,5217552343702245,Chadwick S Knapp,226,12/2008,12/2027,20,2058,105200
American Express,American Express,343426671380080,Kathleen X Wilson,2322,05/2011,05/2016,14,2812,17700
Master Card,Citibank,5366583771358456,Leo Z Dawson,325,01/2014,01/2019,2,1527,128900
Visa,Barclays,4134814965874048,Ryan G Wolf,521,12/2012,12/2029,20,4321,142200
Japan Credit Bureau,JCB,3576079211078771,Isabella E Doyle,931,03/2015,03/2020,23,3496,143200
Visa,Chase,4081414440569033,George Z Pena,683,04/2007,04/2026,24,0178,195300
Discover,Discover,6501317738886786,Isiah C Poole,998,11/2010,11/2023,9,6884,99300
American Express,American Express,347468006720479,Kathy L Rollins,1533,05/2015,05/2031,6,8390,99700
Japan Credit Bureau,JCB,3558553831530652,Rodger I Weeks,899,03/2008,03/2018,27,3372,141400
Japan Credit Bureau,JCB,3585755994300420,Ronnie R Spears,698,11/2015,11/2023,22,6804,65400
American Express,American Express,372135452395373,Sheena Y Dillard,5276,07/2011,07/2016,21,0747,182000
Japan Credit Bureau,JCB,3584524410364753,William N Hendricks,721,07/2009,07/2025,18,8073,59700
Visa,Chase,4903429698690915,Cyrus Bridges,884,11/2017,11/2026,22,3007,64800
Visa,Wells Fargo,4789094058788193,Kristen Johns,172,10/2017,10/2025,4,4345,172700
Discover,Discover,6011815991079463,Chad Z Curry,815,07/2013,07/2018,5,1281,85600
Discover,Discover,6011950987097839,Marie Contreras,715,01/2017,01/2023,23,9500,100600
Visa,GE Capital,4051477111266599,Hannah S Patterson,095,08/2015,08/2027,25,2135,165100
Diners Club International,Diners Club,30041204607145,Stanley F Foreman,683,12/2011,12/2026,2,9229,11300
Japan Credit Bureau,JCB,3546979390651883,Kenya Lang,338,06/2012,06/2015,26,2325,198800
Discover,Discover,6011454873934742,Debbie D Gray,439,06/2017,06/2020,7,1782,160600
Diners Club International,Diners Club,30299023004833,Sung O Mcdonald,271,05/2015,05/2022,24,1552,164000
Master Card,U.S. Bancorp,5456503585826358,Gloria E Bond,466,11/2013,11/2030,17,4692,95200
Discover,Discover,6539293642363012,Louise Woods,194,10/2010,10/2030,10,7297,132600
Japan Credit Bureau,JCB,3545751071096675,Edna T Wiley,477,11/2012,11/2032,28,5287,40800
Discover,Discover,6011275593291778,Amalia A Mann,731,09/2014,09/2016,17,8275,195100
Discover,Discover,6011097220999338,George Y Mccarthy,267,03/2013,03/2026,21,5306,83600
Master Card,Bank of America,5147317197414312,Morgan M Barr,212,01/2010,01/2024,2,5601,160400
American Express,American Express,345806827857305,Herman Dunn,1867,11/2007,11/2020,22,2426,26000
Visa,Bank of America,4689837877707393,Chris E Williamson,697,06/2014,06/2025,28,3198,81300
Master Card,Capital One,5443491116440988,Sam G May,371,06/2017,06/2027,21,4016,186300
Japan Credit Bureau,JCB,3545204707110478,Tina S Glenn,077,09/2014,09/2021,23,1537,44800
American Express,American Express,345499365332673,Ramon U Travis,6513,04/2014,04/2033,11,0931,32000
Discover,Discover,6011226126622468,Lamont Ray,439,08/2012,08/2023,17,1249,182200
American Express,American Express,346979621444346,George E Marks,4335,09/2016,09/2033,17,1662,144800
Master Card,USAA,5251916285313278,Micheal Z Allison,235,08/2011,08/2015,7,5699,193500
Visa,Chase,4416233541926371,Anita V Spencer,593,06/2015,06/2027,11,9639,131500
American Express,American Express,377319472452530,Josie Santos,2990,04/2011,04/2029,26,4045,196600
Diners Club International,Diners Club,30402641887056,Nicholas R Preston,877,05/2013,05/2024,23,9021,161900
American Express,American Express,343945997904877,Harvey P Page,3404,12/2017,12/2032,11,8889,200000
Visa,Chase,4955868731578545,Wanda Callahan,287,03/2009,03/2022,27,6770,176700
